population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,1992,3302.5670270226237,3539.952536563464,3086.2777198160743
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,1994,55514.961849250205,59809.669087771326,51185.20766930358
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,1994,45288.2676538339,49248.21621682564,41943.80929480513
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,1994,3857.2258344073566,4109.832363780138,3598.5176060556873
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,1993,15854.358788682326,16685.169661651587,15118.269251609077
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,1991,14396.26830558145,15107.515193534715,13716.930846555282
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,1996,45611.613119458794,48922.19848014314,41555.792365643356
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,1995,54181.81640790238,58558.917728457884,49709.7320117845
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,1995,44288.783408520576,48250.093476831564,41016.689731757404
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,1995,4048.342006935269,4313.16638538346,3788.173419574701
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,1997,46792.02546763416,50176.05651676397,42783.65915802882
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,1991,2119.903423435261,2306.0598920784582,1930.235360737414
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,1998,49692.74251272311,53473.06778732574,45513.03376441538
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,1994,16331.51431508922,17108.8227738112,15554.47442052199
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,1993,2239.2032291594355,2464.7781453991593,2032.917481348658
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,1992,2171.2216109752394,2384.471798759056,1995.1492255976868
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,1996,52954.5049674461,57386.982713365294,48206.04858148498
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,1996,43794.075601855744,47571.14739385602,40588.74914324635
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,1996,4292.6901735995425,4572.068893718259,4001.1321780268977
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,1995,16829.97568717392,17551.24400449884,16042.364186515313
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,1999,49976.05128947677,53670.36370014569,45890.70703166043
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,1997,52431.78147518723,56715.49371258363,47718.38443181804
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,1997,43660.69434243918,47516.94413886478,40274.384414902626
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,1997,4478.049141928949,4791.070383620495,4150.942677737794
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,1994,2251.5804982598474,2480.8622286697596,2049.359251423586
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,1998,53094.355455776815,57577.51215255991,48094.85491747632
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,1998,44502.04859676647,48191.40736321214,41032.37354532176
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,1998,4736.902936094672,5054.127281659098,4411.694628630907
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,1995,2301.847668521544,2532.6432403646963,2093.8013532022537
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,1996,17253.599549737126,18035.988571520335,16515.94419714496
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,1997,17739.488409431284,18555.055651331615,16903.286387004067
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,1998,18393.078263716594,19282.526250536113,17415.100868808076
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,2000,49037.28415796927,52577.98737252609,44986.89168684605
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,1999,53052.45274052789,57664.80172139382,47527.954394769804
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,1999,44573.44293305628,48343.18234776976,41112.96552227041
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,1999,5086.585442337515,5454.913202267467,4742.443973546853
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,1996,2330.6633610028744,2560.443793853856,2116.409029715083
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,1998,2510.2780511458996,2755.648445830223,2284.569322128196
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,1997,2387.4855405085787,2615.87933664723,2180.4853424080825
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,1999,19131.60927410549,20121.990159498622,18239.686371552532
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,2000,53573.42298389828,58025.57218091699,48115.64781932035
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,2000,42769.65247257508,46384.137963486835,39454.02455370451
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,2000,5435.166851015581,5809.5077352264425,5041.423899344366
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,2000,2726.5388489571274,2983.736986751219,2483.231150737489
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,1999,2610.7989228231672,2862.0538749123684,2374.4817869135363
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,2000,19986.704891903148,20927.908605548448,18831.42507837856
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,2003,52196.482349190475,55430.66162776995,47421.748830470664
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,2001,49524.97485706704,52974.1970571838,45041.39095983382
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,2002,56110.0035184899,60943.95832559294,49871.007315797986
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,2002,42803.01471733928,46320.97554097276,39433.77179367389
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,2002,5810.710190559592,6194.372745058846,5370.841079785307
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,2002,50806.01661006144,54237.322420275115,46269.483271276855
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,2001,54730.66912336815,59226.26597253238,48936.61589019466
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,2001,42706.84164292237,46378.888593598866,39183.75001091113
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,2001,5584.031935659919,5990.843664742677,5204.334701188837
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,2003,57133.88632916367,61713.613299262,51003.17846478801
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,2003,43498.03431592011,47081.45510805285,39921.92715359453
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,2003,6053.921274264529,6464.993785802237,5596.574802078817
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,2001,20644.12666333826,21667.11847316814,19507.679733884594
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,2004,52939.02657195801,56132.29702424039,47990.12510824769
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,2005,50501.87746513903,53561.83197669479,45417.83196325828
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,2005,56890.1245608817,61652.47867672295,50638.87723746845
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,2005,42619.03776096198,45983.92644736441,39234.17076871082
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,2005,6346.923870865244,6751.643794518404,5932.651830138768
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,2004,57667.96005191709,62295.15200734743,51702.49339907674
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,2004,43865.71207962369,47438.26846275848,40459.46133999731
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,2004,6295.615841605934,6729.170407017962,5821.935950127149
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,2008,49573.990754295475,52635.71969845092,44982.14741412171
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,2007,49695.62688679161,52703.42744385521,45151.7410181271
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,2006,50032.20266443078,53165.78820454479,45213.187075434114
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,2002,21180.003866641156,22179.50477328885,20038.228380878012
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,2003,22079.103986758775,23116.65936259656,20777.662027170652
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,2001,2847.4246905649575,3115.9698614541985,2585.653142261859
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,2007,60074.265625819535,64841.64621244801,53391.275192351924
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,2007,42816.33253911663,45861.33713694876,39755.16030719715
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,2007,6739.552358407286,7135.28923439353,6351.525245725547
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,2003,3041.1121302813335,3313.591387751682,2780.038831047235
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,2004,22911.85702245565,23978.538038568946,21628.361154308026
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,2002,2954.156882657993,3224.947884368913,2695.450010997474
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,2006,59107.62640823723,63939.069991672,52491.93920580006
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,2006,42751.96319950287,45858.881191673805,39587.85984879547
